SNo,Collateral,StartupName,IndustryVertical,SubVertical,CityLocation,Scheme Opted,InvestmentType,Yearly Salary,Source of grants
0,yes,TouchKin,Technology,Predictive Care Platform,Bangalore,"
Support for International Patent Protection in Electronics & Information Technology (SIP-EIT)	",Private Equity,130000,central
1,no,Ethinos,Technology,Digital Marketing Agency,Mumbai,Software Technology Park (STP) Scheme        ,Private Equity,,state
2,no,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"
Support for International Patent Protection in Electronics & Information Technology (SIP-EIT)        ",Seed Funding,,state
3,yes,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,SIDBI,Seed Funding,50000,central
4,no,Click2Clinic,Agriculture,Dairy Entrepreneurship Development Scheme,Hyderabad,The incentives differ with respect to the cost of the required equipment or establishment of the facilities,Seed Funding,850000,state
5,no,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Software Technology Park (STP) Scheme,Seed Funding,100000,central
6,no,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,Atal Tinkering Laboratories        ,Private Equity,260000,state
7,no,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,Software Technology Park (STP) Scheme,Private Equity,200000,central
8,yes,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,Software Technology Park (STP) Scheme        ,Private Equity,8500000,state
9,yes,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Software Technology Park (STP) Scheme        ,Private Equity,120000,central
10,no,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Private Equity,100000,central
11,no,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,343000,central
12,yes,MyCity4kids,Consumer Internet,parenting blog and kids‚Äô events discovery platform,Gurgaon,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,,central
13,yes,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,100000,central
14,yes,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,,central
15,no,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Software Technology Park (STP) Scheme,Private Equity,300000,state
16,no,Fabogo,Agriculture,Small Farmers’ Agri-Business Consortium (SFAC),Pune,"The quantum of SFAC Venture Capital Assistance will depend on the project cost, location and the promoter's status.
",Private Equity,225000,state
17,yes,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT)        ,Seed Funding,464000,central
18,no,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Multiplier Grants Scheme (MGS),Seed Funding,3400000,central
19,yes,Innoviti,Technology,Digital payments solutions,Bangalore,SBI-FMO Fund,Private Equity,180000,central
20,yes,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"
Electronic Development Fund (EDF) Policy        ",Private Equity,,central
21,no,Bottr.me,Technology,Chatbot creation tool,Bangalore,Software Technology Park(STP),Seed Funding,,central
22,no,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Electronic Development Fund (EDF) Policy,Seed Funding,,central
23,no,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"
Infrastructure Development Scheme",Seed Funding,540000,state
24,yes,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Software Technology Park(STP),Private Equity,17000,state
25,yes,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,200000,state
26,no,Vayana,Technology,Enterprise Banking Solutions,Pune,Software Technology Park(STP),Private Equity,400000,state
27,no,MObiquest,Agriculture,Coir Udyami Yojana,Pune,The amount of bank credit will be 55% of the total project cost after deducting 40% margin money (subsidy) and owner’s contribution of 5% from beneficiaries. ,Private Equity,,state
28,yes,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,Atal Incubation Centres (AIC),Seed Funding,,central
29,yes,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Atal Incubation Centres (AIC),Seed Funding,,state
30,no,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,,central
31,no,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,Multiplier Grants Scheme (MGS)        ,Private Equity,100000,state
32,yes,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Atal Incubation Centres (AIC),Seed Funding,,central
33,yes,Playablo,Technology,Gamified Learning App,Bangalore,EDF Policy,Seed Funding,600000,state
34,yes,Trupay,Technology,Online payments platform,Gurgaon,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Seed Funding,700000,central
35,no,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,Software Technology Park(STP),Seed Funding,200000,state
36,no,FableStreet,eCommerce,Women Work wear etailer,New Delhi,Software Technology Park(STP),Seed Funding,,central
37,yes,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Multiplier Grants Scheme (MGS)        ,Seed Funding,,state
38,no,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"
Multiplier Grants Scheme (MGS)	",Seed Funding,,central
39,yes,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Private Equity,3434000,state
40,yes,Byju‚Äôs,Consumer Internet,Mobile Learning App,Bangalore,Support for International Patent Protection in Electronics & Information Technology (SIP-EIT),Private Equity,434300,central
41,no,Creator‚Äôs Gurukul,Others,Co-Working Space Provider,New Delhi,M-SIPS,Seed Funding,,state
42,no,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,M-SIPS,Private Equity,25000000,central
43,yes,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,Multiplier Grants Scheme (MGS),Seed Funding,344444,state
44,no,1mg,eCommerce,Online Pharmacy,Gurgaon,Multiplier Grants Scheme (MGS),Private Equity,3318888,central
45,yes,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,"
Software Technology Park (STP) Scheme        ",Seed Funding,,central
46,yes,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,SIDBI-SMILE,Private Equity,1250000,central
47,no,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,bangalore,Software Technology Park (STP) Scheme        ,Seed Funding,,central
